From/To,AAA,AA,A,BBB,BB,B,CCC,Default
AAA,0.9112088700000001,0.07999200000000001,0.006999299999999999,0.0009999,0.00049995,9.999000000000001e-05,9.999000000000001e-05,0.0001
AA,0.006998599859985999,0.9101179217921794,0.0746850585058506,0.005998799879988,0.000999799979998,0.0006998599859986001,0.0001999599959996,0.0003
A,0.0009997998799279567,0.023395317190314187,0.9152168100860516,0.0507898339003402,0.006098779267560535,0.0025994796878126875,9.997998799279566e-05,0.0008
BBB,0.00019989984977466203,0.00299849774661993,0.05647170756134202,0.8793594391587382,0.047476214321482225,0.010494742113169756,0.00099949924887331,0.002
BB,9.99899000101e-05,0.0010998889001111,0.0054994445005555,0.07769215230784769,0.8176174123825876,0.0794919705080295,0.008499141500858499,0.01
B,0.0,0.0005,0.0024999999999999996,0.0045000000000000005,0.06999999999999999,0.835,0.0375,0.05
CCC,0.0,0.0001,0.001,0.003,0.025900000000000003,0.12,0.65,0.2
Default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
